sy_snum,sy_pnum,pl_orbper,pl_orbper_err,pl_orbsmax,pl_orbsmax_err,pl_rade,pl_rade_err,pl_bmassj,pl_bmassj_err,pl_orbeccen,pl_orbeccen_err,pl_ratdor,pl_ratdor_err,pl_ratror,pl_ratror_err,st_teff,st_teff_err,st_rad,st_rad_err,st_mass,st_mass_err,st_met,st_met_err,st_logg,st_logg_err,st_age,st_age_err,st_vsin,st_vsin_err,pl_ratmom,pl_ratmom_err
1,1,2.74432452,7.35e-07,0.04739,0.000685,20.961,1.401,6.78,6.78,0.0,0.0,5.45,0.39,0.09887,0.00114,8450.0,615.0,1.86,0.105,1.89,0.01,-0.059,0.08149999999999999,4.18,0.06,0.6,0.29000000000000004,99.85,0.625,0.003424980248509661,0.003425028188884769
1,1,1.35413379,8e-08,0.02317,0.00044,12.576,0.269,1.37,0.16,0.010685061461662216,0.010685061461662216,5.661779502659193,0.16768350155539732,0.13101540632717865,0.004088979808957697,5227.0,95.0,0.88,0.02,0.9,0.05,0.05,0.08,4.51,0.01,7.2,6.4,7.5,0.6,0.0014533433886375062,0.0001879591182599313
1,1,3.547851,5e-06,0.0485,0.0005,15.48,0.392,1.071,0.136,0.0,0.0,7.42,0.12,0.1011,0.0006,6351.0,76.0,1.4,0.03,1.21,0.04,-0.157,0.07,4.22,0.01,3.2,0.5,9.12,1.31,0.0008450731087094723,0.00011088760049440326
1,1,2.7667641,2.7e-06,0.03815,0.00032,11.646,0.303,1.071,0.07,0.142,0.142,8.8,0.16999999999999998,0.1145,0.0012,5346.0,60.0,0.93,0.015,0.97,0.02,0.33,0.06,4.48,0.02,4.9,1.7,3.8,1.2,0.001054163362410785,7.224662387204132e-05
1,1,1.8882378,1.5e-06,0.03632,0.0008049999999999999,15.513,0.8574999999999999,12.9,1.7000000000000002,0.18,0.18,4.17,0.14500000000000002,0.074,0.0028,7930.0,725.0,1.88,0.065,1.78,0.12,0.041,0.101,4.17,0.04,0.81,0.41500000000000004,40.61,0.33499999999999996,0.006919263816157405,0.0010242292817615965
1,4,0.959641,1.1e-05,0.01796,0.00034,1.67,0.135,0.01564,0.00074,0.0,0.0,4.388673278712089,0.09690061305879263,0.01739787917989729,0.0014202432092460938,5261.0,60.0,0.88,0.01,0.84,0.045,0.04,0.05,4.616946029081652,0.26867400516144885,7.8,4.3,7.5,0.6,1.7776556776556782e-05,1.2705659186751625e-06
1,4,29.8454,0.0012,0.1776,0.0034000000000000002,3.0,0.33,0.03502,0.0023899999999999998,0.06,0.06,43.398016386373435,0.966159626793887,0.031253675173468186,0.0034562003878976415,5261.0,60.0,0.88,0.01,0.84,0.045,0.04,0.05,4.616946029081652,0.26867400516144885,7.8,4.3,7.5,0.6,3.980402930402931e-05,3.4534468154912418e-06
1,1,21.21663,0.00045,0.16820095767312204,0.004771658966422431,12.33,0.336,3.51,0.21,0.68,0.0,23.34,0.43,0.07292793055961273,0.0027370510062846762,6040.0,24.0,1.55,0.04,1.41,0.12,0.19,0.19,4.2,0.06,2.4,0.8,7.5,0.6,0.002376720901126408,0.00024725452388477706
1,3,7.1079384,6.6e-06,0.072,0.001,2.164,0.053000000000000005,0.11736,0.0302,0.0,0.0,16.82884301704258,0.2968031066383115,0.02163,0.00043,5634.0,63.5,0.92,0.01,0.99,0.025,0.079,0.0535,4.51,0.015,1.5,1.3,7.5,0.6,0.00011318140682846566,2.9264634161825984e-05
2,1,111.4367,0.0004,0.47484944356527736,0.03716213038335073,11.994,0.336,4.38,0.74,0.93,0.0,98.38,7.32,0.10572877898298338,0.0035926120619154274,5561.0,24.0,1.04,0.02,1.15,0.27,0.35,0.35,4.42,0.02,2.4,0.8,7.5,0.6,0.0036363564823922883,0.0010518245116324986
1,2,21.05704,0.00046,0.1536,0.0017,4.35,0.23,0.04782,0.01164,0.22,0.15,25.5,1.2,0.03086,0.001,6327.0,48.0,1.3,0.06,1.09,0.04,-0.311,0.079,4.25,0.04,4.48,0.96,12.71,0.4,4.188642118809415e-05,1.0310908848976956e-05
