System,lambda,lambda_err,psi,psi_err,sy_snum,sy_pnum,pl_orbper,pl_orbper_err,pl_orbsmax,pl_orbsmax_err,pl_rade,pl_rade_err,pl_bmassj,pl_bmassj_err,pl_orbeccen,pl_orbeccen_err,pl_insol,pl_insol_err,pl_eqt,pl_eqt_err,pl_ratdor,pl_ratdor_err,pl_ratror,pl_ratror_err,st_spectype,st_teff,st_teff_err,st_rad,st_rad_err,st_mass,st_mass_err,st_met,st_met_err,st_lum,st_lum_err,st_logg,st_logg_err,st_age,st_age_err,st_vsin,st_vsin_err,st_rotp,st_rotp_err
Qatar-6 b,0.1,2.6,22.0,13.5,2,1,3.506195,1.8e-05,0.0423,0.0004,11.904,0.796,0.668,0.066,0.0,0.0,,,1006.0,18.0,12.61,0.22,0.151,0.007,K2 V,5052.0,66.0,0.72,0.02,0.82,0.02,-0.025,0.093,-0.514,0.037000000000000005,4.64,0.01,1.02,0.62,2.9,0.5,12.75,1.75
TIC 241249530 b,163.5,8.55,,,2,1,165.7719,0.00027499999999999996,0.641,0.011,13.294,0.4315,4.98,0.16999999999999998,0.9412,0.0009,,,,,,,0.0873,0.00195,,6166.0,43.0,1.4,0.03,1.27,0.065,0.09,0.03,0.408,0.0135,4.23,0.06,3.2,0.5,4.6,0.595,,
TOI-640 b,176.0,3.0,104.0,2.0,1,1,5.0037775,4.8e-06,0.06608,0.0010400000000000001,19.851,0.6505000000000001,0.88,0.16,0.05,0.0445,,,1749.0,28.0,6.82,0.22999999999999998,0.08738,0.0008849999999999999,,6460.0,140.0,2.08,0.06,1.54,0.07500000000000001,0.072,0.0805,0.834,0.0305,3.99,0.035,1.99,0.47500000000000003,6.1,0.5,,
TOI-778 b,18.0,11.0,,,1,1,4.633611,1e-06,0.06,0.003,15.4,0.5,2.8,0.2,0.21,0.04,,,1561.0,32.5,7.6,0.2,0.0825,0.0005,F3 V,6643.0,150.0,1.71,0.05,1.4,0.05,0.0,0.1,0.76,0.049,4.05,0.17,1.95,0.135,39.9,4.4,2.58,0.1
TOI-858 B b,99.3,3.75,,,2,1,3.2797178,1.4e-06,0.04435,0.00099,14.067,0.437,1.1,0.07500000000000001,0.15,0.15,908.9,54.349999999999994,1529.0,22.5,,,,,G0,5842.0,81.5,1.31,0.04,1.08,0.07500000000000001,0.153,0.091,0.253,0.0215,4.24,0.04,6.8,2.7,5.8,0.25,,
TOI-942 b,1.0,37.0,2.0,30.0,3,2,4.32421,1.9e-05,0.04866,0.000145,3.89,0.24,,,0.34,0.12000000000000001,,,,,,,0.03995,0.0006399999999999999,,4928.0,105.0,0.89,0.055,0.82,0.01,,,,,,,0.053,0.0215,14.24,0.52,,
TOI-1136 d,5.0,5.0,0.0,14.0,1,6,12.5199,0.0004,0.1062,0.0008,,,0.02627,0.005345,0.042,0.004,,,843.0,6.0,,,,,,5770.0,50.0,0.97,0.04,1.02,0.03,0.07,0.06,,,4.47,0.04,0.7,0.15,6.7,0.6,,
TOI-1181 b,2.0,15.5,,,1,1,2.103189,4.000000000000001e-06,,,17.026,0.661,1.179,0.023,0.011,0.0075,,,,,3.976,0.0635,0.07947,0.000435,,6054.0,81.0,1.96,0.03,1.47,0.02,0.38,0.06,0.642,0.0185,4.02,0.02,2.7,0.2,10.6,1.0,,
TOI-1268 b,40.0,8.55,,,1,1,8.1577094,4.5e-06,0.0711,0.00605,9.1,0.6,0.30331,0.025955,0.105,0.0395,,,918.9,30.299999999999997,16.62,0.905,0.091,0.001,K1-K2,5300.0,100.0,0.92,0.06,0.96,0.04,0.36,0.06,,,4.55,0.1,0.245,0.135,4.12,1.0,10.9,0.5
TOI-1431 b,155.0,15.0,,,1,1,2.650237,3e-06,0.046,0.002,16.701,0.56,3.12,0.18,0.0022,0.0023,5300.0,485.0,2370.0,70.0,5.15,0.05,0.07955,0.00058,Am C,7690.0,325.0,1.92,0.07,1.9,0.09,0.09,0.03,1.068,0.0625,4.15,0.04,0.29,0.255,6.0,0.2,,
TOI-1478 b,6.2,5.7,,,1,1,10.180249,1.5e-05,0.0903,0.00155,11.882,0.4425,0.851,0.0495,0.024,0.0245,,,918.0,11.0,18.54,0.6499999999999999,0.104,0.0015,,5597.0,82.5,1.05,0.03,0.95,0.05,0.078,0.069,-0.013,0.016,4.37,0.035,9.1,3.5,4.3,0.5,,
TOI-1670 c,0.3,2.2,,,1,2,40.74976,0.000116,0.249,0.005,11.063,0.28,0.63,0.08499999999999999,0.09,0.045,,,684.0,9.0,40.68,0.66,0.077,0.002,F7 V,6170.0,61.0,1.32,0.02,1.21,0.02,0.09,0.07,,,4.29,0.11,2.53,0.43,9.2,0.6,,
TOI-1842 b,68.0,18.0,73.0,14.5,1,1,9.5739181,9.9e-06,0.1,0.002,12.349,0.2865,0.28128,0.02454,0.276,0.064,,,1199.55036721,21.83179713275,,,0.05571,0.000745,,6039.0,91.0,2.03,0.04,1.46,0.035,0.332,0.06,0.695,0.026,3.99,0.02,2.5,0.35,,,,
TOI-1937 A b,4.0,3.5,,,2,1,0.94667944,4.7e-07,0.01932,0.00037,13.978,0.6779999999999999,2.01,0.165,0.0,0.0,3230.0,216.5,2097.0,35.5,3.85,0.095,,,,5814.0,92.0,1.08,0.025,1.07,0.06,0.196,0.084,0.08,0.0315,4.4,0.03,3.6,2.7,,,,
TOI-2076 b,3.0,15.5,18.0,9.5,1,3,10.355096,1.8e-05,0.088,0.002,2.771,0.119,0.05066,0.025955,0.0,0.0,,,687.676490765,13.736011164499999,,,0.03191,0.00092,,5192.0,59.5,0.8,0.025,0.86,0.02,0.02,0.058499999999999996,-0.378,0.037,4.57,0.03,2.7,2.75,,,,
TOI-2109 b,1.7,1.7,,,1,1,0.67247414,1.55e-07,0.01791,0.00065,15.098,0.527,5.02,0.75,,,,,3646.0,88.0,2.268,0.021,0.08155,0.00022,F,6540.0,160.0,1.7,0.06,1.45,0.07,0.068,0.066,0.673,0.03,4.14,0.045,1.77,0.78,81.2,1.6,,
TOI-3362 b,1.2,2.75,,,1,1,18.09547,3e-05,0.153,0.0025,12.801,0.471,5.029,0.657,0.815,0.0275,,,,,,,,,,6532.0,87.0,1.83,0.055,1.45,0.07,0.017,0.053000000000000005,0.739,0.027,4.07,0.03,2.14,0.5900000000000001,20.0,4.1,,
