sy_snum,sy_pnum,pl_orbper,pl_orbper_err,pl_orbsmax,pl_orbsmax_err,pl_rade,pl_rade_err,pl_bmassj,pl_bmassj_err,pl_orbeccen,pl_orbeccen_err,pl_ratdor,pl_ratdor_err,pl_ratror,pl_ratror_err,st_teff,st_teff_err,st_rad,st_rad_err,st_mass,st_mass_err,st_met,st_met_err,st_logg,st_logg_err,st_age,st_age_err,st_vsin,st_vsin_err,Obliquity,Obliquity_err
1,1,4.1662739,6.3e-06,0.0525,0.000915,15.681,0.661,0.679,0.0385,,,9.34,0.265,0.119,0.0013,5948.0,74.0,1.21,0.045,1.11,0.06,0.09,0.10500000000000001,4.32,0.025,4.5,0.7,,,5.2,3.4
1,1,4.7361,3e-05,,,15.132,1.121,0.171,0.015,0.0007,0.00125,4.98,0.05,0.0514,0.0035,5375.0,25.0,2.69,0.04,1.44,0.07,0.17,0.07,3.7,0.1,,,,,77.9,2.3499999999999996
1,1,3.0801716,5.2500000000000006e-06,0.04881,0.0006299999999999999,17.094,0.7010000000000001,1.31,0.28500000000000003,,,6.38,0.18,0.09526,0.000865,7454.0,49.0,1.65,0.06,1.64,0.065,-0.018,0.073,4.22,0.02,0.65,0.15,44.2,1.4,116.0,4.0
2,1,4.6117093,8.8e-06,0.0637,0.0029,21.409,1.233,4.07,4.07,,,7.5,0.19,0.10713,0.00092,7500.0,110.0,1.83,0.1,1.62,0.225,-0.12,0.51,4.13,0.03,,,84.8,2.0,155.0,19.0
1,1,3.4741085,1.9e-06,0.0542,0.0017499999999999998,19.515,0.8009999999999999,3.382,3.382,,,7.42,0.13,0.1144,0.000615,8720.0,255.0,1.56,0.06,1.76,0.165,-0.29,0.29,4.29,0.02,0.6,0.6,117.4,2.9,5.0,11.0
1,1,3.6127647,3.3e-06,0.05224,0.00034500000000000004,17.777,0.4425,3.91,3.91,0.0,0.0,6.86,0.125,0.09952,0.0007199999999999999,7598.0,82.5,1.64,0.03,1.46,0.03,-0.405,0.0325,4.17,0.01,1.6,0.1,146.03,0.48,5.6,1.7999999999999998
1,1,3.5224991,7e-07,0.0474,0.00195,15.872,0.6445,0.59,0.125,,,6.854,0.0175,0.09575,0.00021,6213.0,150.0,1.49,0.055,1.21,0.065,-0.055,0.03,4.17,0.03,,,,,5.0,7.0
1,3,19.23891,6e-05,0.143,0.006500000000000001,8.29,0.485,0.13655,0.00566,0.0609,0.00115,31.3,1.3,0.0776,0.0017000000000000001,5774.0,60.0,0.96,0.02,1.02,0.035,0.05,0.07,4.49,0.025,2.0,1.65,,,13.0,16.0
3,1,1.763588,1e-06,0.03641,0.00087,16.948,0.392,9.28,0.16,0.00064,0.00014000000000000001,4.5007,0.00395,0.08737,2e-05,7650.0,250.0,1.74,0.04,1.72,0.1,0.2,0.2,4.2,0.5,,,,,60.25,0.05
1,1,1.4857108,2e-07,0.02591,0.000365,14.68,0.22,2.45,0.11,0.011,0.011,5.48,0.02,0.13031,0.0002,5781.0,85.0,1.01,1.01,1.04,1.04,0.26,0.1,4.45,4.45,,,,,0.0,15.0
2,3,12.7207,0.000105,,,5.217,0.0675,0.0479,0.0046,0.0061,0.0045000000000000005,,,0.03637,0.00012,6270.0,79.0,1.32,0.015,1.17,0.03,,,,,,,,,24.1,9.295
1,3,29.33434,0.00815,0.18,0.18,3.9,0.2,0.036,0.004,0.042,0.003,,,,,5498.0,54.0,0.95,0.12,0.99,0.08,0.18,0.27,4.77,0.23,2.0,0.8,,,4.0,10.0
1,1,9.4341505,1e-06,0.08,0.002,6.11,0.2,0.378,0.378,0.45,0.45,19.12,0.08,0.0622,0.001,5576.0,50.0,0.9,0.025,0.98,0.04,0.05,0.08,4.52,0.02,0.21,0.045,5.6,0.8,104.0,11.5
2,4,22.342989,6.7e-06,0.1684,0.0022,11.27,1.06,0.334,0.035,0.022,0.038,23.8,1.9,0.06802,8e-05,6182.0,58.0,1.52,0.14,1.28,0.05,0.023,0.002,4.18,0.07,3.16,0.39,7.3,0.5,6.0,12.0
1,1,2.46502,2.46502,,,0.82,0.03,0.01573,0.01573,,,,,0.00614,0.00614,6104.0,74.0,1.23,0.03,1.08,0.07,-0.2,0.1,4.29,0.03,6.68,6.68,3.1,3.1,48.0,4.5
2,1,86.647661,3.4e-05,0.382,0.006,10.54,1.35,1.45,0.35,0.772,0.045,,,,,5520.0,80.0,1.13,0.14,0.99,0.05,0.27,0.09,4.32,0.1,9.3,3.0,4.6,0.2,74.0,39.0
1,2,17.855182,7e-06,0.154,0.0035,13.787,0.6165,1.1,2.15,0.34,0.07500000000000001,,,,,6820.0,120.0,1.4,0.065,1.5,0.1,,,,,,,,,7.1,3.5
1,2,31.562,0.011,0.1974,0.0026,,,0.15,0.02,0.838,0.037,,,,,5731.0,60.0,1.1,0.13,1.03,0.04,,,,,6.31,2.5,2.8,1.0,35.0,18.5
1,1,2.14877381,8.750000000000001e-07,0.040352,4.75e-05,17.901,0.20750000000000002,,,0.00034,0.000285,4.1676,0.0049,0.07884,0.00021500000000000002,7490.0,150.0,2.08,0.02,1.9,0.065,0.15,0.15,,,0.8,0.2,101.7,3.85,72.1,2.45
2,1,2.82406,3e-05,0.047,0.004,17.15,0.6165,3.1,0.9,0.0,0.0,5.26,5.26,0.08,0.003,7800.0,200.0,1.92,0.11,1.75,0.05,0.0,0.0,4.1,0.05,0.8,0.8,45.66,1.015,109.66,0.14
1,1,1.4200242,2.2e-07,0.02332,0.0004,12.812,0.2855,1.294,0.0505,0.0,0.0,6.247,0.066,0.14629,0.000635,5013.0,90.5,0.8,0.02,0.84,0.04,0.171,0.0955,4.55,0.01,,,1.76,0.21,8.4,7.1
1,1,1.33711647,2.6e-07,0.02153,0.0002,14.056,0.146,2.494,0.054,0.0,0.0,,,0.1659,0.00044,4645.0,50.0,0.78,0.01,0.74,0.02,0.02,0.08,4.53,0.01,5.0,5.0,3.28,0.04,0.0,8.0
2,1,3.506195,1.8e-05,0.0423,0.0004,11.904,0.796,0.668,0.066,0.0,0.0,12.61,0.22,0.151,0.007,5052.0,66.0,0.72,0.02,0.82,0.02,-0.025,0.093,4.64,0.01,1.02,0.62,2.9,0.5,22.0,13.5
2,1,165.7719,0.00027499999999999996,0.641,0.011,13.294,0.4315,4.98,0.16999999999999998,0.9412,0.0009,,,0.0873,0.00195,6166.0,43.0,1.4,0.03,1.27,0.065,0.09,0.03,4.23,0.06,3.2,0.5,4.6,0.595,163.5,8.55
1,1,5.0037775,4.8e-06,0.06608,0.0010400000000000001,19.851,0.6505000000000001,0.88,0.16,0.05,0.0445,6.82,0.22999999999999998,0.08738,0.0008849999999999999,6460.0,140.0,2.08,0.06,1.54,0.07500000000000001,0.072,0.0805,3.99,0.035,1.99,0.47500000000000003,6.1,0.5,104.0,2.0
1,1,4.633611,1e-06,0.06,0.003,15.4,0.5,2.8,0.2,0.21,0.04,7.6,0.2,0.0825,0.0005,6643.0,150.0,1.71,0.05,1.4,0.05,0.0,0.1,4.05,0.17,1.95,0.135,39.9,4.4,18.0,11.0
2,1,3.2797178,1.4e-06,0.04435,0.00099,14.067,0.437,1.1,0.07500000000000001,0.15,0.15,,,,,5842.0,81.5,1.31,0.04,1.08,0.07500000000000001,0.153,0.091,4.24,0.04,6.8,2.7,5.8,0.25,99.3,3.75
