System,lambda,lambda_err,psi,psi_err,Ephemeris_reference,sy_snum,sy_pnum,cb_flag,pl_refname,pl_orbper,pl_orbper_err,pl_orbsmax,pl_orbsmax_err,pl_rade,pl_rade_err,pl_bmassj,pl_bmassj_err,pl_orbeccen,pl_orbeccen_err,pl_insol,pl_insol_err,pl_eqt,pl_eqt_err,pl_ratdor,pl_ratdor_err,pl_ratror,pl_ratror_err,st_refname,st_spectype,st_teff,st_teff_err,st_rad,st_rad_err,st_mass,st_mass_err,st_met,st_met_err,st_lum,st_lum_err,st_logg,st_logg_err,st_age,st_age_err,st_vsin,st_vsin_err,st_rotp,st_rotp_err,rowupdate
KELT-1 b,2.0,16.0,,,2012ApJ...761..123S,1,1,0,<a refstr=SIVERD_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...761..123S/abstract target=ref> Siverd et al. 2012 </a>,1.217514,1.5e-05,0.02466,0.00016,12.442,0.303,27.23,0.49,0.0099,0.00845,,,,,,,,,<a refstr=SIVERD_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...761..123S/abstract target=ref> Siverd et al. 2012 </a>,,6518.0,50.0,1.46,0.04,1.32,0.03,,,0.542,0.027,,,,,56.0,2.0,,,2014-05-14
KELT-6 b,36.0,11.0,,,2015A+A...581L...6D,1,2,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,7.8457,0.0002,,,14.572,1.009,0.52,0.12,0.22,0.11,,,,,10.83,0.89,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,6102.0,43.0,1.73,0.12,1.42,0.46,-0.28,0.28,,,4.07,0.06,,,,,,,2018-04-25
KELT-7 b,10.55,0.27,12.4,11.7,2022MNRAS.515.1247T,1,1,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,2.73477,4e-06,,,17.934,0.673,1.39,0.22,0.0,0.0,,,,,5.5,0.17,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,6768.0,7.0,1.81,0.07,1.76,0.25,0.0,0.0,,,4.5,4.5,,,,,,,2018-04-25
KELT-9 b,84.8,0.3,87.47,0.185,2022ApJ...931..111S,2,1,0,<a refstr=GAUDI_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.546..514G/abstract target=ref>Gaudi et al. 2017</a>,1.4811235,1.1e-06,0.03462,0.001015,21.196,0.639,2.88,0.84,0.0,0.0,44900.0,7650.0,4050.0,180.0,3.153,0.011,0.08228,0.00043,<a refstr=GAUDI_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.546..514G/abstract target=ref>Gaudi et al. 2017</a>,B9.5-A0,10170.0,450.0,2.36,0.065,2.52,0.225,-0.03,0.2,1.724,0.098,4.09,0.01,0.3,0.3,111.4,1.27,,,2017-06-02
KELT-10 b,5.2,3.4,,,2023A+A...672A.134S,1,1,0,<a refstr=KUHN_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.459.4281K/abstract target=ref>Kuhn et al. 2016</a>,4.1662739,6.3e-06,0.0525,0.000915,15.681,0.661,0.679,0.0385,,,600.0,45.0,1377.0,25.5,9.34,0.265,0.119,0.0013,<a refstr=KUHN_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.459.4281K/abstract target=ref>Kuhn et al. 2016</a>,G0 V,5948.0,74.0,1.21,0.045,1.11,0.06,0.09,0.10500000000000001,0.217,0.040999999999999995,4.32,0.025,4.5,0.7,,,,,2016-04-27
KELT-11 b,77.9,2.3499999999999996,,,2022A+A...668A...1M,1,1,0,<a refstr=BEATTY_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154...25B/abstract target=ref>Beatty et al. 2017</a>,4.7361,3e-05,,,15.132,1.121,0.171,0.015,0.0007,0.00125,,,,,4.98,0.05,0.0514,0.0035,<a refstr=BEATTY_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154...25B/abstract target=ref>Beatty et al. 2017</a>,,5375.0,25.0,2.69,0.04,1.44,0.07,0.17,0.07,,,3.7,0.1,,,,,,,2019-01-03
KELT-17 b,115.9,4.1,116.0,4.0,2016AJ....152..136Z,1,1,0,<a refstr=ZHOU_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..136Z/abstract target=ref>Zhou et al. 2016</a>,3.0801716,5.2500000000000006e-06,0.04881,0.0006299999999999999,17.094,0.7010000000000001,1.31,0.28500000000000003,,,,,2087.0,32.5,6.38,0.18,0.09526,0.000865,<a refstr=ZHOU_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..136Z/abstract target=ref>Zhou et al. 2016</a>,A,7454.0,49.0,1.65,0.06,1.64,0.065,-0.018,0.073,0.876,0.0335,4.22,0.02,0.65,0.15,44.2,1.4,,,2019-12-02
KELT-18 b,94.8,0.7,91.7,2.0,arXiv:2407.21196,2,1,0,<a refstr=MCLEOD_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..263M/abstract target=ref>McLeod et al. 2017</a>,2.8717518,2.8e-06,0.0455,0.00068,17.598,0.4375,1.18,0.11,0.0,0.0,3152.0,231.0,2085.0,38.5,5.138,0.057999999999999996,0.08462,0.00091,<a refstr=MCLEOD_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..263M/abstract target=ref>McLeod et al. 2017</a>,F4 V,6670.0,120.0,1.91,0.04,1.52,0.07,0.09,0.13,0.813,0.041,4.06,0.01,1.9,0.2,12.3,0.3,,,2017-04-24
KELT-19 A b,179.7,3.75,155.0,19.0,2024MNRAS.528..270K,2,1,0,<a refstr=SIVERD_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...35S/abstract target=ref>Siverd et al. 2018</a>,4.6117093,8.8e-06,0.0637,0.0029,21.409,1.233,4.07,4.07,,,2340.0,184.0,1935.0,38.0,7.5,0.19,0.10713,0.00092,<a refstr=SIVERD_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...35S/abstract target=ref>Siverd et al. 2018</a>,A8 V,7500.0,110.0,1.83,0.1,1.62,0.225,-0.12,0.51,0.978,0.0525,4.13,0.03,,,84.8,2.0,,,2018-01-08
KELT-20 b,3.9,1.1,5.0,11.0,2024A+A...683A...1S,1,1,0,<a refstr=LUND_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..194L/abstract target=ref>Lund et al. 2017</a>,3.4741085,1.9e-06,0.0542,0.0017499999999999998,19.515,0.8009999999999999,3.382,3.382,,,4362.5,565.8,2262.0,73.0,7.42,0.13,0.1144,0.000615,<a refstr=LUND_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..194L/abstract target=ref>Lund et al. 2017</a>,A2 V,8720.0,255.0,1.56,0.06,1.76,0.165,-0.29,0.29,1.104,0.0695,4.29,0.02,0.6,0.6,117.4,2.9,,,2019-12-02
KELT-21 b,5.6,1.7999999999999998,,,2018AJ....155..100J,1,1,0,<a refstr=JOHNSON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..100J/abstract target=ref>Johnson et al. 2018</a>,3.6127647,3.3e-06,0.05224,0.00034500000000000004,17.777,0.4425,3.91,3.91,0.0,0.0,2950.0,169.0,2051.0,29.5,6.86,0.125,0.09952,0.0007199999999999999,<a refstr=JOHNSON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..100J/abstract target=ref>Johnson et al. 2018</a>,A8 V,7598.0,82.5,1.64,0.03,1.46,0.03,-0.405,0.0325,0.905,0.028999999999999998,4.17,0.01,1.6,0.1,146.03,0.48,,,2018-02-01
KELT-24 b,1.4,4.800000000000001,,,arXiv:2406.04288,2,1,0,<a refstr=GIOVINAZZI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....168..118G/abstract target=ref>Giovinazzi et al. 2024</a>,5.55149296,5.149999999999999e-07,0.0665,0.0011,12.711,0.297,4.59,0.18,0.0319,0.0076500000000000005,624.0,40.0,1391.0,22.5,10.67,0.155,0.08702,0.000105,<a refstr=GIOVINAZZI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....168..118G/abstract target=ref>Giovinazzi et al. 2024</a>,,6426.0,92.0,1.34,0.03,1.27,0.06,0.138,0.08399999999999999,0.439,0.035,4.29,0.01,1.98,0.87,19.74,0.14,,,2024-08-29
Kepler-8 b,5.0,7.0,,,2012ApJ...757...18A,1,1,0,<a refstr=ESTEVES_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...804..150E/abstract target=ref>Esteves et al. 2015</a>,3.5224991,7e-07,0.0474,0.00195,15.872,0.6445,0.59,0.125,,,,,1680.0,40.0,6.854,0.0175,0.09575,0.00021,<a refstr=ESTEVES_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...804..150E/abstract target=ref>Esteves et al. 2015</a>,,6213.0,150.0,1.49,0.055,1.21,0.065,-0.055,0.03,,,4.17,0.03,,,,,,,2015-10-07
Kepler-9 b,13.0,16.0,,,2018AJ....155...70W,1,3,0,<a refstr=BORSATO_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.484.3233B/abstract target=ref>Borsato et al. 2019</a>,19.23891,6e-05,0.143,0.006500000000000001,8.29,0.485,0.13655,0.00566,0.0609,0.00115,,,,,31.3,1.3,0.0776,0.0017000000000000001,<a refstr=BORSATO_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.484.3233B/abstract target=ref>Borsato et al. 2019</a>,,5774.0,60.0,0.96,0.02,1.02,0.035,0.05,0.07,-0.038,0.0265,4.49,0.025,2.0,1.65,,,,,2019-07-08
KOI-13 b,59.2,0.05,60.25,0.05,2017MNRAS.470..932H,3,1,0,<a refstr=ESTEVES_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...804..150E/abstract target=ref>Esteves et al. 2015</a>,1.763588,1e-06,0.03641,0.00087,16.948,0.392,9.28,0.16,0.00064,0.00014000000000000001,,,2550.0,80.0,4.5007,0.00395,0.08737,2e-05,<a refstr=ESTEVES_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...804..150E/abstract target=ref>Esteves et al. 2015</a>,,7650.0,250.0,1.74,0.04,1.72,0.1,0.2,0.2,,,4.2,0.5,,,,,,,2015-10-07
Kepler-17 b,0.0,15.0,0.0,15.0,2011ApJS..197...14D,1,1,0,<a refstr=DESERT_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJS..197...14D/abstract target=ref> D&eacute;sert et al. 2011 </a>,1.4857108,2e-07,0.02591,0.000365,14.68,0.22,2.45,0.11,0.011,0.011,,,1570.0,200.0,5.48,0.02,0.13031,0.0002,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5781.0,85.0,1.01,1.01,1.04,1.04,0.26,0.1,0.012,0.012,4.45,4.45,,,,,,,2019-12-02
Kepler-25 c,0.9,7.050000000000001,24.1,9.295,2023A+A...669A..63B,2,3,0,<a refstr=MILLS_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..145M/abstract target=ref>Mills et al. 2019</a>,12.7207,0.000105,,,5.217,0.0675,0.0479,0.0046,0.0061,0.0045000000000000005,,,,,,,0.03637,0.00012,<a refstr=MILLS_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..145M/abstract target=ref>Mills et al. 2019</a>,,6270.0,79.0,1.32,0.015,1.17,0.03,,,,,,,,,,,,,2019-06-07
Kepler-30 b,4.0,10.0,,,2012Natur.487..449S,1,3,0,<a refstr=SANCHIS_OJEDA_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012Natur.487..449S/abstract target=ref> Sanchis-Ojeda et al. 2012 </a>,29.33434,0.00815,0.18,0.18,3.9,0.2,0.036,0.004,0.042,0.003,,,,,,,,,<a refstr=SANCHIS_OJEDA_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012Natur.487..449S/abstract target=ref> Sanchis-Ojeda et al. 2012 </a>,,5498.0,54.0,0.95,0.12,0.99,0.08,0.18,0.27,,,4.77,0.23,2.0,0.8,,,,,2023-11-28
Kepler-63 b,110.0,18.0,104.0,11.5,2013ApJ...775...54S,1,1,0,<a refstr=SANCHIS_OJEDA_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...775...54S/abstract target=ref> Sanchis-Ojeda et al. 2013 </a>,9.4341505,1e-06,0.08,0.002,6.11,0.2,0.378,0.378,0.45,0.45,,,,,19.12,0.08,0.0622,0.001,<a refstr=SANCHIS_OJEDA_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...775...54S/abstract target=ref> Sanchis-Ojeda et al. 2013 </a>,,5576.0,50.0,0.9,0.025,0.98,0.04,0.05,0.08,-0.157,0.041499999999999995,4.52,0.02,0.21,0.045,5.6,0.8,,,2019-12-02
KOI-94 d,6.0,12.0,,,2012ApJ...759L..36H,2,4,0,<a refstr=WEISS_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...768...14W/abstract target=ref> Weiss et al. 2013 </a>,22.342989,6.7e-06,0.1684,0.0022,11.27,1.06,0.334,0.035,0.022,0.038,,,806.0,806.0,23.8,1.9,0.06802,8e-05,<a refstr=WEISS_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...768...14W/abstract target=ref> Weiss et al. 2013 </a>,,6182.0,58.0,1.52,0.14,1.28,0.05,0.023,0.002,0.479,0.088,4.18,0.07,3.16,0.39,7.3,0.5,,,2014-05-14
Kepler-408 b,,,48.0,4.5,2019AJ....157..137K,1,1,0,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,2.46502,2.46502,,,0.82,0.03,0.01573,0.01573,,,,,,,,,0.00614,0.00614,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,,6104.0,74.0,1.23,0.03,1.08,0.07,-0.2,0.1,,,4.29,0.03,6.68,6.68,3.1,3.1,,,2016-10-12
KOI-1257 b,74.0,39.0,,,2014A+A...571A..37S,2,1,0,<a refstr=SANTERNE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...571A..37S/abstract target=ref>Santerne et al. 2014</a>,86.647661,3.4e-05,0.382,0.006,10.54,1.35,1.45,0.35,0.772,0.045,,,511.0,50.0,,,,,<a refstr=SANTERNE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...571A..37S/abstract target=ref>Santerne et al. 2014</a>,G5 V,5520.0,80.0,1.13,0.14,0.99,0.05,0.27,0.09,,,4.32,0.1,9.3,3.0,4.6,0.2,,,2014-06-25
KOI-12 b,7.1,3.5,,,2017AJ....154..137J,1,2,0,<a refstr=MASUDA_2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154...64M/abstract target=ref>Masuda 2017</a>,17.855182,7e-06,0.154,0.0035,13.787,0.6165,1.1,2.15,0.34,0.07500000000000001,,,,,,,,,<a refstr=MASUDA_2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154...64M/abstract target=ref>Masuda 2017</a>,,6820.0,120.0,1.4,0.065,1.5,0.1,,,,,,,,,,,,,2019-11-01
Kepler-1656 b,35.0,18.5,,,arXiv:2407.21188,1,2,0,<a refstr=ANGELO_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..227A/abstract target=ref>Angelo et al. 2022</a>,31.562,0.011,0.1974,0.0026,,,0.15,0.02,0.838,0.037,,,,,,,,,<a refstr=ANGELO_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..227A/abstract target=ref>Angelo et al. 2022</a>,,5731.0,60.0,1.1,0.13,1.03,0.04,,,,,,,6.31,2.5,2.8,1.0,,,2022-05-24
MASCARA-1 b,69.2,3.25,72.1,2.45,2022A+A...658A..75H,1,1,0,<a refstr=HOOTON_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022A&A...658A..75H/abstract target=ref>Hooton et al. 2022</a>,2.14877381,8.750000000000001e-07,0.040352,4.75e-05,17.901,0.20750000000000002,,,0.00034,0.000285,,,2594.3,1.55,4.1676,0.0049,0.07884,0.00021500000000000002,<a refstr=HOOTON_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022A&A...658A..75H/abstract target=ref>Hooton et al. 2022</a>,,7490.0,150.0,2.08,0.02,1.9,0.065,0.15,0.15,1.083,0.035500000000000004,,,0.8,0.2,101.7,3.85,0.85,0.02,2023-01-18
MASCARA-4 b,109.66,0.14,,,2022A+A...666A..47Z,2,1,0,<a refstr=DORVAL_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...635A..60D/abstract target=ref>Dorval et al. 2020</a>,2.82406,3e-05,0.047,0.004,17.15,0.6165,3.1,0.9,0.0,0.0,,,2100.0,100.0,5.26,5.26,0.08,0.003,<a refstr=DORVAL_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...635A..60D/abstract target=ref>Dorval et al. 2020</a>,A7 V,7800.0,200.0,1.92,0.11,1.75,0.05,0.0,0.0,1.087,0.0235,4.1,0.05,0.8,0.8,45.66,1.015,,,2020-03-13
NGTS-2 b,11.3,4.8,,,arXiv:1809.07709,1,1,0,<a refstr=RAYNARD_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.481.4960R/abstract target=ref>Raynard et al. 2018</a>,4.511164,6.1e-05,0.063,0.0027,17.878,0.5155000000000001,0.74,0.125,0.0,0.0,,,1468.0,43.5,,,0.09619,0.00101,<a refstr=RAYNARD_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.481.4960R/abstract target=ref>Raynard et al. 2018</a>,F5 V,6478.0,91.5,1.7,0.045,1.64,0.20500000000000002,-0.06,0.09,,,4.2,0.045,2.17,0.37,15.2,0.8,,,2018-10-05
Qatar-1 b,8.4,7.1,,,2013A+A...554A..28C,1,1,0,<a refstr=COLLINS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153...78C/abstract target=ref>Collins et al. 2017</a>,1.4200242,2.2e-07,0.02332,0.0004,12.812,0.2855,1.294,0.0505,0.0,0.0,,,1418.0,27.5,6.247,0.066,0.14629,0.000635,<a refstr=COLLINS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153...78C/abstract target=ref>Collins et al. 2017</a>,,5013.0,90.5,0.8,0.02,0.84,0.04,0.171,0.0955,-0.438,0.0435,4.55,0.01,,,1.76,0.21,,,2016-09-14
Qatar-2 b,0.0,8.0,,,2017MNRAS.471..394M,1,1,0,<a refstr=MANCINI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.443.2391M/abstract target=ref>Mancini et al. 2014</a>,1.33711647,2.6e-07,0.02153,0.0002,14.056,0.146,2.494,0.054,0.0,0.0,,,1344.0,14.0,,,0.1659,0.00044,<a refstr=MANCINI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.443.2391M/abstract target=ref>Mancini et al. 2014</a>,,4645.0,50.0,0.78,0.01,0.74,0.02,0.02,0.08,,,4.53,0.01,5.0,5.0,3.28,0.04,,,2014-11-05
Qatar-6 b,0.1,2.6,22.0,13.5,2023AJ....165...65R,2,1,0,<a refstr=ALSUBAI_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...52A/abstract target=ref>Alsubai et al. 2018</a>,3.506195,1.8e-05,0.0423,0.0004,11.904,0.796,0.668,0.066,0.0,0.0,,,1006.0,18.0,12.61,0.22,0.151,0.007,<a refstr=ALSUBAI_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...52A/abstract target=ref>Alsubai et al. 2018</a>,K2 V,5052.0,66.0,0.72,0.02,0.82,0.02,-0.025,0.093,-0.514,0.037000000000000005,4.64,0.01,1.02,0.62,2.9,0.5,12.75,1.75,2019-11-18
TIC 241249530 b,163.5,8.55,,,2024Natur.632...50G,2,1,0,<a refstr=GUPTA_ET_AL__2024 href=https://www.nature.com/articles/s41586-024-07688-3 target=ref>Gupta et al. 2024</a>,165.7719,0.00027499999999999996,0.641,0.011,13.294,0.4315,4.98,0.16999999999999998,0.9412,0.0009,,,,,,,0.0873,0.00195,<a refstr=GUPTA_ET_AL__2024 href=https://www.nature.com/articles/s41586-024-07688-3 target=ref>Gupta et al. 2024</a>,,6166.0,43.0,1.4,0.03,1.27,0.065,0.09,0.03,0.408,0.0135,4.23,0.06,3.2,0.5,4.6,0.595,,,2024-07-22
TOI-559 b,10.0,13.0,,,arXiv:2408.10038,1,1,0,<a refstr=IKWUT_UKWA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163....9I/abstract target=ref>Ikwut-Ukwa et al. 2022</a>,6.9839095,5.1e-06,0.0723,0.0013,12.229,0.29700000000000004,6.01,0.235,0.151,0.0115,,,1180.0,17.0,12.61,0.30000000000000004,0.09097,0.00053,<a refstr=IKWUT_UKWA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163....9I/abstract target=ref>Ikwut-Ukwa et al. 2022</a>,G V,5925.0,80.5,1.23,0.03,1.03,0.06,-0.069,0.07200000000000001,0.227,0.019999999999999997,4.27,0.025,6.8,2.25,4.08,0.5,,,2022-03-28
TOI-640 b,176.0,3.0,104.0,2.0,2023A+A...671A.164K,1,1,0,<a refstr=RODRIGUEZ_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161..194R/abstract target=ref>Rodriguez et al. 2021</a>,5.0037775,4.8e-06,0.06608,0.0010400000000000001,19.851,0.6505000000000001,0.88,0.16,0.05,0.0445,,,1749.0,28.0,6.82,0.22999999999999998,0.08738,0.0008849999999999999,<a refstr=RODRIGUEZ_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161..194R/abstract target=ref>Rodriguez et al. 2021</a>,,6460.0,140.0,2.08,0.06,1.54,0.07500000000000001,0.072,0.0805,0.834,0.0305,3.99,0.035,1.99,0.47500000000000003,6.1,0.5,,,2021-02-25
TOI-677 b,0.0,1.0,,,arXiv:2406.08558,1,1,0,<a refstr=JORD_AACUTE_N_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..145J/abstract target=ref>Jord&aacute;n et al. 2020</a>,11.2366,0.00011,0.1038,0.0017,13.115,0.336,1.236,0.068,0.435,0.024,,,1252.0,21.0,,,0.0942,0.0010999999999999998,<a refstr=JORD_AACUTE_N_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..145J/abstract target=ref>Jord&aacute;n et al. 2020</a>,F8,6295.0,77.0,1.28,0.03,1.18,0.06,0.0,0.05,,,4.29,0.03,2.92,0.765,7.8,0.19,,,2020-05-01
TOI-778 b,18.0,11.0,,,2023AJ....165..207C,1,1,0,<a refstr=CLARK_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..207C/abstract target=ref>Clark et al. 2023</a>,4.633611,1e-06,0.06,0.003,15.4,0.5,2.8,0.2,0.21,0.04,,,1561.0,32.5,7.6,0.2,0.0825,0.0005,<a refstr=CLARK_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..207C/abstract target=ref>Clark et al. 2023</a>,F3 V,6643.0,150.0,1.71,0.05,1.4,0.05,0.0,0.1,0.76,0.049,4.05,0.17,1.95,0.135,39.9,4.4,2.58,0.1,2023-05-03
TOI-858 B b,99.3,3.75,,,2023A+A...679A..70H,2,1,0,<a refstr=HAGELBERG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230911390H/abstract target=ref>Hagelberg et al. 2023</a>,3.2797178,1.4e-06,0.04435,0.00099,14.067,0.437,1.1,0.07500000000000001,0.15,0.15,908.9,54.349999999999994,1529.0,22.5,,,,,<a refstr=HAGELBERG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230911390H/abstract target=ref>Hagelberg et al. 2023</a>,G0,5842.0,81.5,1.31,0.04,1.08,0.07500000000000001,0.153,0.091,0.253,0.0215,4.24,0.04,6.8,2.7,5.8,0.25,,,2023-10-09
TOI-942 b,1.0,37.0,2.0,30.0,2021ApJ...917L..34W,3,2,0,<a refstr=WIRTH_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJ...917L..34W/abstract target=ref>Wirth et al. 2021</a>,4.32421,1.9e-05,0.04866,0.000145,3.89,0.24,,,0.34,0.12000000000000001,,,,,,,0.03995,0.0006399999999999999,<a refstr=WIRTH_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJ...917L..34W/abstract target=ref>Wirth et al. 2021</a>,,4928.0,105.0,0.89,0.055,0.82,0.01,,,,,,,0.053,0.0215,14.24,0.52,,,2023-04-17
TOI-942 c,24.0,14.0,0.0,21.5,arXiv:2408.07788,3,2,0,<a refstr=WIRTH_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJ...917L..34W/abstract target=ref>Wirth et al. 2021</a>,10.156272,3.5499999999999996e-05,0.08598,0.000245,4.67,0.32,,,0.32,0.195,,,,,,,0.0479,0.0015,<a refstr=WIRTH_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJ...917L..34W/abstract target=ref>Wirth et al. 2021</a>,,4928.0,105.0,0.89,0.055,0.82,0.01,,,,,,,0.053,0.0215,14.24,0.52,,,2023-04-17
TOI-1136 d,5.0,5.0,0.0,14.0,2023AJ....165...33D,1,6,0,<a refstr=BEARD_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167...70B/abstract target=ref>Beard et al. 2024</a>,12.5199,0.0004,0.1062,0.0008,,,0.02627,0.005345,0.042,0.004,,,843.0,6.0,,,,,<a refstr=DAI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221009283D/abstract target=ref>Dai et al. 2022</a>,,5770.0,50.0,0.97,0.04,1.02,0.03,0.07,0.06,,,4.47,0.04,0.7,0.15,6.7,0.6,,,2024-04-10
TOI-1181 b,2.0,15.5,,,2024AJ....168...81S,1,1,0,<a refstr=SAUNDERS_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....168...81S/abstract target=ref>Saunders et al. 2024</a>,2.103189,4.000000000000001e-06,,,17.026,0.661,1.179,0.023,0.011,0.0075,,,,,3.976,0.0635,0.07947,0.000435,<a refstr=SAUNDERS_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....168...81S/abstract target=ref>Saunders et al. 2024</a>,,6054.0,81.0,1.96,0.03,1.47,0.02,0.38,0.06,0.642,0.0185,4.02,0.02,2.7,0.2,10.6,1.0,,,2024-08-16
